emoji,hexcode,hfg-priority,hfg-tags
⁉️,2049,4,
™️,2122,3,
ℹ️,2139,2,
↔️,2194,1,
↕️,2195,1,
↖️,2196,1,
↗️,2197,1,
↘️,2198,1,
↙️,2199,1,
⌨️,2328,3,
☀️,2600,2,
☁️,2601,2,
☂️,2602,3,
☃️,2603,4,
☄️,2604,4,
☑️,2611,2,
☔️,2614,3,
☕️,2615,3,
☘️,2618,3,
☠️,2620,3,
☢️,2622,4,
☣️,2623,4,
☦️,2626,4,
☸️,2638,4,
☹️,2639,1,
♀️,2640,2,
♂️,2642,2,
♈️,2648,4,
♉️,2649,4,
♐️,2650,4,
♑️,2651,4,
♒️,2652,4,
♓️,2653,4,
♠️,2660,4,
♣️,2663,4,
♥️,2665,4,
♦️,2666,4,
♨️,2668,4,
⚒️,2692,4,
⚓️,2693,3,
⚔️,2694,4,
⚕️,2695,3,
⚖️,2696,3,
⚗️,2697,4,
⚙️,2699,1,
✂️,2702,2,
✅,2705,2,
✈️,2708,2,
✉️,2709,1,
✒️,2712,4,
✔️,2714,1,
✖️,2716,1,
✡️,2721,4,
✨,2728,3,
✳️,2733,4,
✴️,2734,4,
❄️,2744,3,
❇️,2747,4,
❓️,2753,2,
❔,2754,2,
❕,2755,2,
❗️,2757,2,
❣️,2763,3,
❤️,2764,1,
➕,2795,2,
➖,2796,2,
➗,2797,2,
⤴️,2934,1,
⤵️,2935,1,
〰️,3030,3,
㊗️,3297,3,
㊙️,3299,3,
⏩️,2E+10,2,
⛩️,3E+10,3,
#️⃣,0023-FE0F-20E3,4,
*️⃣,002A-FE0F-20E3,4,
0️⃣,0030-FE0F-20E3,4,
1️⃣,0031-FE0F-20E3,4,
2️⃣,0032-FE0F-20E3,4,
3️⃣,0033-FE0F-20E3,4,
4️⃣,0034-FE0F-20E3,4,
5️⃣,0035-FE0F-20E3,4,
6️⃣,0036-FE0F-20E3,4,
7️⃣,0037-FE0F-20E3,4,
8️⃣,0038-FE0F-20E3,4,
9️⃣,0039-FE0F-20E3,4,
©️,00A9,3,
®️,00AE,3,
🀄️,1F004,4,
🃏,1F0CF,4,
🅰️,1F170,4,
🅱️,1F171,4,
🅾️,1F17E,4,
🅿️,1F17F,2,
🆎,1F18E,4,
🆑,1F191,4,
🆒,1F192,3,
🆓,1F193,4,
🆔,1F194,3,
🆕,1F195,3,
🆖,1F196,4,
🆗,1F197,3,
🆘,1F198,3,
🆙,1F199,4,
🆚,1F19A,3,
🇦🇨,1F1E6-1F1E8,4,
🇦🇩,1F1E6-1F1E9,4,
🇦🇪,1F1E6-1F1EA,4,
🇦🇫,1F1E6-1F1EB,4,
🇦🇬,1F1E6-1F1EC,4,
🇦🇮,1F1E6-1F1EE,4,
🇦🇱,1F1E6-1F1F1,4,
🇦🇲,1F1E6-1F1F2,4,
🇦🇴,1F1E6-1F1F4,4,
🇦🇶,1F1E6-1F1F6,4,
🇦🇷,1F1E6-1F1F7,4,
