emoji,hexcode,group
,F002,extras-openmoji
,F003,extras-openmoji
,F004,extras-openmoji
,F005,extras-openmoji
,F006,extras-openmoji
,F007,extras-openmoji
,F008,extras-openmoji
,F009,extras-openmoji
,F00A,extras-openmoji
,F00B,extras-openmoji
,F00C,extras-openmoji
,F00D,extras-openmoji
,F00E,extras-openmoji
,F00F,extras-openmoji
,F010,extras-openmoji
,F011,extras-openmoji
,F012,extras-openmoji
,F013,extras-openmoji
,F014,extras-openmoji
,F015,extras-openmoji
,F016,extras-openmoji
,F017,extras-openmoji
,F018,extras-openmoji
,F019,extras-openmoji
,F01A,extras-openmoji
,F01B,extras-openmoji
,F01C,extras-openmoji
,F01D,extras-openmoji
,F01E,extras-openmoji
,F01F,extras-openmoji
,F020,extras-openmoji
,F021,extras-openmoji
,F022,extras-openmoji
,F023,extras-openmoji
,F024,extras-openmoji
,F025,extras-openmoji
,F026,extras-openmoji
,F027,extras-openmoji
,F028,extras-openmoji
,F029,extras-openmoji
,F02A,extras-openmoji
,F02B,extras-openmoji
,F02C,extras-openmoji
,F02D,extras-openmoji
,F02E,extras-openmoji
,F02F,extras-openmoji
,F030,extras-openmoji
,F031,extras-openmoji
,F032,extras-openmoji
,F033,extras-openmoji
,F034,extras-openmoji
,F035,extras-openmoji
,F036,extras-openmoji
,F037,extras-openmoji
,F038,extras-openmoji
,F039,extras-openmoji
,F03A,extras-openmoji
,F03B,extras-openmoji
,F03C,extras-openmoji
,F03D,extras-openmoji
,F03E,extras-openmoji
,F03F,extras-openmoji
,F040,extras-openmoji
,F041,extras-openmoji
,F042,extras-openmoji
,F043,extras-openmoji
,F044,extras-openmoji
,F045,extras-openmoji
,F046,extras-openmoji
,F047,extras-openmoji
,F048,extras-openmoji
,F049,extras-openmoji
,F04A,extras-openmoji
,F04B,extras-openmoji
,F04C,extras-openmoji
,F04D,extras-openmoji
,F04E,extras-openmoji
,F04F,extras-openmoji
,F050,extras-openmoji
,F051,extras-openmoji
,F052,extras-openmoji
,F053,extras-openmoji
,F054,extras-openmoji
,F055,extras-openmoji
,F056,extras-openmoji
,F057,extras-openmoji
,F058,extras-openmoji
,F059,extras-openmoji
,F05A,extras-openmoji
,F05B,extras-openmoji
,F05C,extras-openmoji
,F05D,extras-openmoji
,F05E,extras-openmoji
,F05F,extras-openmoji
,F060,extras-openmoji
,F061,extras-openmoji
,F062,extras-openmoji
,F063,extras-openmoji
,F064,extras-openmoji
,F065,extras-openmoji
,F066,extras-openmoji
,F067,extras-openmoji
,F068,extras-openmoji
,F069,extras-openmoji
,F06A,extras-openmoji
,F06B,extras-openmoji
,F06C,extras-openmoji
,F06D,extras-openmoji
,F06E,extras-openmoji
,F06F,extras-openmoji
,F070,extras-openmoji
,F071,extras-openmoji
,F072,extras-openmoji
,F073,extras-openmoji
,F074,extras-openmoji
,F075,extras-openmoji
,F076,extras-openmoji
,F077,extras-openmoji
,F078,extras-openmoji
,F079,extras-openmoji
,F07A,extras-openmoji
,F07B,extras-openmoji
,F07C,extras-openmoji
,F07D,extras-openmoji
,F07E,extras-openmoji
,F07F,extras-openmoji
,F080,extras-openmoji
,F081,extras-openmoji
,F082,extras-openmoji
,F083,extras-openmoji
,F084,extras-openmoji
,F085,extras-openmoji
,F086,extras-openmoji
,F087,extras-openmoji
,F088,extras-openmoji
,F089,extras-openmoji
,F08A,extras-openmoji
,F08B,extras-openmoji
,F08C,extras-openmoji
,F08D,extras-openmoji
,F08E,extras-openmoji
,F08F,extras-openmoji
,F090,extras-openmoji
,F091,extras-openmoji
,F092,extras-openmoji
,F093,extras-openmoji
,F094,extras-openmoji
,F095,extras-openmoji
,F096,extras-openmoji
,F097,extras-openmoji
,F098,extras-openmoji
,F099,extras-openmoji
,F09A,extras-openmoji
,F09B,extras-openmoji
,F09C,extras-openmoji
,F09D,extras-openmoji
,F09E,extras-openmoji
,F09F,extras-openmoji
,F0A0,extras-openmoji
,F0A1,extras-openmoji
,F0A2,extras-openmoji
,F0A3,extras-openmoji
,F0A4,extras-openmoji
,F0A5,extras-openmoji
,F0A6,extras-openmoji
,F0A7,extras-openmoji
,F0A8,extras-openmoji
,F0A9,extras-openmoji
,F0AA,extras-openmoji
,F0AB,extras-openmoji
,F0AC,extras-openmoji
,F0AD,extras-openmoji
,F0AE,extras-openmoji
,F0AF,extras-openmoji
,F0B0,extras-openmoji
,F0B1,extras-openmoji
,F0B2,extras-openmoji
,F0B3,extras-openmoji
,F0B4,extras-openmoji
,F0B5,extras-openmoji
,F0B6,extras-openmoji
,F0B7,extras-openmoji
,F0B8,extras-openmoji
,F0B9,extras-openmoji
,F0BA,extras-openmoji
,F0BB,extras-openmoji
,F0BC,extras-openmoji
,F0BD,extras-openmoji
,F0BE,extras-openmoji
,F0BF,extras-openmoji
,F0C0,extras-openmoji
,F0C1,extras-openmoji
,F0C2,extras-openmoji
,F0C3,extras-openmoji
,F0C4,extras-openmoji
,F0C5,extras-openmoji
,F0C6,extras-openmoji
,F0C7,extras-openmoji
,F0C8,extras-openmoji
