emoji,hexcode,hfg_tags,hfg_author
ℹ️,2139,"advice, info",Jose Avila
🅿️,1F17F,"place, drive",Jose Avila
㊗️,3297,"japanese, compliments",Jose Avila
㊙️,3299,"japanese, mysterious",Jose Avila
🆒,1F192,"popular, nice",Jose Avila
🆔,1F194,id card,Jose Avila
🆕,1F195,"modern, recent",Jose Avila
🆗,1F197,okay,Jose Avila
🆘,1F198,"emergency, warning",Jose Avila
🆚,1F19A,against,Jose Avila
🈂️,1F202,japanese,Jose Avila
💯,1F4AF,"perfect, excellent",Jose Avila
🔠,1F520,"letters, alphabet",Jose Avila
🔡,1F521,"letters, alphabet",Jose Avila
🔢,1F522,numbers,Jose Avila
🔣,1F523,"ampersand, music, note, percentage",Jose Avila
🔤,1F524,"letters, alphabet",Jose Avila
🐸,1F438,"jump, green",Selina Bauder
🐓,1F413,egg,Selina Bauder
🦅,1F985,fly,Selina Bauder
🦆,1F986,"water, fly",Selina Bauder
🐔,1F414,egg,Selina Bauder
🐣,1F423,"baby, egg",Selina Bauder
🐤,1F424,"small, baby, egg",Selina Bauder
🐥,1F425,,Selina Bauder
🐦️,1F426,"fly, colourful",Selina Bauder
🐧,1F427,,Selina Bauder
🕊️,1F54A,fly,Selina Bauder
🦃,1F983,,Selina Bauder
🦉,1F989,,Selina Bauder
🕷️,1F577,,Selina Bauder
🐌,1F40C,,Selina Bauder
🐝,1F41D,,Selina Bauder
🐛,1F41B,,Selina Bauder
🐜,1F41C,,Selina Bauder
🐞,1F41E,,Selina Bauder
🕸️,1F578,,Selina Bauder
🦂,1F982,,Selina Bauder
🦋,1F98B,,Selina Bauder
🦗,1F997,,Selina Bauder
🐁,1F401,"small, cute, whiskers, tiny, rodent",Sofie Ascherl
🐈️,1F408,"pet, kitty, kitten, miau",Sofie Ascherl
🐎,1F40E,"riding, sport",Sofie Ascherl
🐒,1F412,"jungle, ape, evolution, primate",Sofie Ascherl
🐕️,1F415,"puppy, doggy",Sofie Ascherl
🐖,1F416,"pork, farm, pink, meat, oink",Sofie Ascherl
🐘,1F418,"big, wrinkles, trunk, töröö",Sofie Ascherl
🐭,1F42D,"cute, whiskers, tiny, rodent",Sofie Ascherl
