emoji,hexcode,group,subgroups,annotation,tags,hfg_tags,hfg_author,skintone,skintone_base_emoji,skintone_base_hexcode,unicode,order
😀,1F600,smileys-people,face-positive,grinning face,"face, grin","smile, happy",Emily Jäger,,,,1,1
😁,1F601,smileys-people,face-positive,beaming face with smiling eyes,"eye, face, grin, smile","happy, teeth, mouth",Emily Jäger,,,,1,2
😂,1F602,smileys-people,face-positive,face with tears of joy,"face, joy, laugh, tear",,Emily Jäger,,,,1,3
🤣,1F923,smileys-people,face-positive,rolling on the floor laughing,"face, floor, laugh, rolling",tears,Emily Jäger,,,,3,4
😃,1F603,smileys-people,face-positive,grinning face with big eyes,"face, mouth, open, smile","eyes, teeth",Emily Jäger,,,,1,5
😄,1F604,smileys-people,face-positive,grinning face with smiling eyes,"eye, face, mouth, open, smile","happy, teeth",Emily Jäger,,,,1,6
😅,1F605,smileys-people,face-positive,grinning face with sweat,"cold, face, open, smile, sweat",laugh,Emily Jäger,,,,1,7
😆,1F606,smileys-people,face-positive,grinning squinting face,"face, laugh, mouth, satisfied, smile",,Emily Jäger,,,,1,8
😉,1F609,smileys-people,face-positive,winking face,"face, wink",eye,Emily Jäger,,,,1,9
😊,1F60A,smileys-people,face-positive,smiling face with smiling eyes,"blush, eye, face, smile",satisfied,Emily Jäger,,,,1,10
😋,1F60B,smileys-people,face-positive,face savoring food,"delicious, face, savouring, smile, yum","yummi, tongue",Emily Jäger,,,,1,11
😎,1F60E,smileys-people,face-positive,smiling face with sunglasses,"bright, cool, face, sun, sunglasses",,Emily Jäger,,,,1,12
😍,1F60D,smileys-people,face-positive,smiling face with heart-eyes,"eye, face, love, smile","hearts, happy",Emily Jäger,,,,1,13
😘,1F618,smileys-people,face-positive,face blowing a kiss,"face, kiss","love, happy",Emily Jäger,,,,1,14
😗,1F617,smileys-people,face-positive,kissing face,"face, kiss",,Emily Jäger,,,,1,16
😙,1F619,smileys-people,face-positive,kissing face with smiling eyes,"eye, face, kiss, smile",,Emily Jäger,,,,1,17
😚,1F61A,smileys-people,face-positive,kissing face with closed eyes,"closed, eye, face, kiss","love, happy",Emily Jäger,,,,1,18
☺️,263A,smileys-people,face-positive,smiling face,"face, outlined, relaxed, smile",satisfied,Emily Jäger,,,,1,20
🙂,1F642,smileys-people,face-positive,slightly smiling face,"face, smile",satisfied,Emily Jäger,,,,1,21
🤗,1F917,smileys-people,face-positive,hugging face,"face, hug, hugging",hands,Emily Jäger,,,,1,22
🤩,1F929,smileys-people,face-positive,star-struck,"eyes, face, grinning, star",suprised,Emily Jäger,,,,5,23
🤔,1F914,smileys-people,face-neutral,thinking face,"face, thinking","hand, overthinking",Emily Jäger,,,,1,24
🤨,1F928,smileys-people,face-neutral,face with raised eyebrow,"distrust, skeptic",suspiciously,Emily Jäger,,,,5,25
😐️,1F610,smileys-people,face-neutral,neutral face,"deadpan, face, neutral",,Mariella Steeb,,,,1,26
😑,1F611,smileys-people,face-neutral,expressionless face,"expressionless, face, inexpressive, unexpressive",,Mariella Steeb,,,,1,27
😶,1F636,smileys-people,face-neutral,face without mouth,"face, mouth, quiet, silent",shhh,Emily Jäger,,,,1,28
🙄,1F644,smileys-people,face-neutral,face with rolling eyes,"eyes, face, rolling",annoyed,Emily Jäger,,,,1,29
😏,1F60F,smileys-people,face-neutral,smirking face,"face, smirk",,Mariella Steeb,,,,1,30
😣,1F623,smileys-people,face-neutral,persevering face,"face, persevere",,Mariella Steeb,,,,1,31
😥,1F625,smileys-people,face-neutral,sad but relieved face,"disappointed, face, relieved, whew",,Mariella Steeb,,,,1,32
😮,1F62E,smileys-people,face-neutral,face with open mouth,"face, mouth, open, sympathy",,Mariella Steeb,,,,1,33
🤐,1F910,smileys-people,face-neutral,zipper-mouth face,"face, mouth, zipper",,Emily Jäger,,,,1,34
😯,1F62F,smileys-people,face-neutral,hushed face,"face, hushed, stunned, surprised",,Mariella Steeb,,,,1,35
😪,1F62A,smileys-people,face-neutral,sleepy face,"face, sleep","snot bubble, side-tear",Mariella Steeb,,,,1,36
😫,1F62B,smileys-people,face-neutral,tired face,"face, tired",exhausted,Mariella Steeb,,,,1,37
😴,1F634,smileys-people,face-neutral,sleeping face,"face, sleep, zzz",tired,Emily Jäger,,,,1,38
😌,1F60C,smileys-people,face-neutral,relieved face,"face, relieved",,Mariella Steeb,,,,1,39
😛,1F61B,smileys-people,face-neutral,face with tongue,"face, tongue",,Mariella Steeb,,,,1,40
😜,1F61C,smileys-people,face-neutral,winking face with tongue,"eye, face, joke, tongue, wink",,Mariella Steeb,,,,1,41
😝,1F61D,smileys-people,face-neutral,squinting face with tongue,"eye, face, horrible, taste, tongue",,Mariella Steeb,,,,1,42
🤤,1F924,smileys-people,face-neutral,drooling face,"drooling, face","hungry, yummi",Emily Jäger,,,,3,43
😒,1F612,smileys-people,face-neutral,unamused face,"face, unamused, unhappy",,Mariella Steeb,,,,1,44
😓,1F613,smileys-people,face-neutral,downcast face with sweat,"cold, face, sweat",,Mariella Steeb,,,,1,45
😔,1F614,smileys-people,face-neutral,pensive face,"dejected, face, pensive",,Mariella Steeb,,,,1,46
😕,1F615,smileys-people,face-neutral,confused face,"confused, face",,Mariella Steeb,,,,1,47
🙃,1F643,smileys-people,face-neutral,upside-down face,"face, upside-down",turn,Emily Jäger,,,,1,48
🤑,1F911,smileys-people,face-neutral,money-mouth face,"face, money, mouth","tongue, dollar",Emily Jäger,,,,1,49
😲,1F632,smileys-people,face-neutral,astonished face,"astonished, face, shocked, totally",,Emily Jäger,,,,1,50
☹️,2639,smileys-people,face-negative,frowning face,"face, frown",negative,Mariella Steeb,,,,1,52
🙁,1F641,smileys-people,face-negative,slightly frowning face,"face, frown",,Mariella Steeb,,,,1,53
😖,1F616,smileys-people,face-negative,confounded face,"confounded, face",,Mariella Steeb,,,,1,54
😞,1F61E,smileys-people,face-negative,disappointed face,"disappointed, face",,Mariella Steeb,,,,1,55
😟,1F61F,smileys-people,face-negative,worried face,"face, worried",,Mariella Steeb,,,,1,56
😤,1F624,smileys-people,face-negative,face with steam from nose,"face, triumph, won",,Mariella Steeb,,,,1,57
😢,1F622,smileys-people,face-negative,crying face,"cry, face, sad, tear",,Mariella Steeb,,,,1,58
😭,1F62D,smileys-people,face-negative,loudly crying face,"cry, face, sad, sob, tear",,Mariella Steeb,,,,1,59
😦,1F626,smileys-people,face-negative,frowning face with open mouth,"face, frown, mouth, open",,Mariella Steeb,,,,1,60
😧,1F627,smileys-people,face-negative,anguished face,"anguished, face",,Mariella Steeb,,,,1,61
😨,1F628,smileys-people,face-negative,fearful face,"face, fear, fearful, scared",,Mariella Steeb,,,,1,62
😩,1F629,smileys-people,face-negative,weary face,"face, tired, weary",distraught,Mariella Steeb,,,,1,63
🤯,1F92F,smileys-people,face-negative,exploding head,shocked,explosion,Mariella Steeb,,,,5,64
😬,1F62C,smileys-people,face-negative,grimacing face,"face, grimace",awkward,Mariella Steeb,,,,1,65
😰,1F630,smileys-people,face-negative,anxious face with sweat,"blue, cold, face, rushed, sweat","anxious, worried, considerate",Mariella Steeb,,,,1,66
😱,1F631,smileys-people,face-negative,face screaming in fear,"face, fear, munch, scared, scream",open mouth,Mariella Steeb,,,,1,67
😳,1F633,smileys-people,face-negative,flushed face,"dazed, face, flushed",red jaws,Mariella Steeb,,,,1,70
🤪,1F92A,smileys-people,face-negative,zany face,"eye, goofy, large, small",,Mariella Steeb,,,,5,71
😵,1F635,smileys-people,face-negative,dizzy face,"dizzy, face",dead eyes,Mariella Steeb,,,,1,72
😡,1F621,smileys-people,face-negative,pouting face,"angry, face, mad, pouting, rage, red",,Mariella Steeb,,,,1,73
😠,1F620,smileys-people,face-negative,angry face,"angry, face, mad",,Mariella Steeb,,,,1,74
🤬,1F92C,smileys-people,face-negative,face with symbols on mouth,swearing,angry,Mariella Steeb,,,,5,75
😷,1F637,smileys-people,face-sick,face with medical mask,"cold, doctor, face, mask, sick",ill,Emily Jäger,,,,1,76
🤒,1F912,smileys-people,face-sick,face with thermometer,"face, ill, sick, thermometer",fever,Emily Jäger,,,,1,77
🤕,1F915,smileys-people,face-sick,face with head-bandage,"bandage, face, hurt, injury",head,Emily Jäger,,,,1,78
🤢,1F922,smileys-people,face-sick,nauseated face,"face, nauseated, vomit",green,Emily Jäger,,,,3,79
🤮,1F92E,smileys-people,face-sick,face vomiting,"sick, vomit",,Emily Jäger,,,,5,80
🤧,1F927,smileys-people,face-sick,sneezing face,"face, gesundheit, sneeze",tissue,Emily Jäger,,,,3,81
😇,1F607,smileys-people,face-role,smiling face with halo,"angel, face, fantasy, halo, innocent",,Emily Jäger,,,,1,82
🤠,1F920,smileys-people,face-role,cowboy hat face,"cowboy, cowgirl, face, hat",howdy,Emily Jäger,,,,3,83
🤥,1F925,smileys-people,face-role,lying face,"face, lie, pinocchio","nose, long",Emily Jäger,,,,3,87
🤫,1F92B,smileys-people,face-role,shushing face,"quiet, shush","hand, silent",Emily Jäger,,,,5,88
🤭,1F92D,smileys-people,face-role,face with hand over mouth,whoops,"hand, mouth",Emily Jäger,,,,5,89
🧐,1F9D0,smileys-people,face-role,face with monocle,stuffy,"glasses, intelligent",Emily Jäger,,,,5,90
🤓,1F913,smileys-people,face-role,nerd face,"face, geek, nerd","glasses, learning",Emily Jäger,,,,1,91
😈,1F608,smileys-people,face-fantasy,smiling face with horns,"face, fairy tale, fantasy, horns, smile","malicious, sardonic",Mariella Steeb,,,,1,92
👿,1F47F,smileys-people,face-fantasy,angry face with horns,"demon, devil, face, fantasy, imp",mean,Mariella Steeb,,,,1,93
🤡,1F921,smileys-people,face-fantasy,clown face,"clown, face",,Emily Jäger,,,,3,94
💀,1F480,smileys-people,face-fantasy,skull,"death, face, fairy tale, monster",skull,Mariella Steeb,,,,1,97
☠️,2620,smileys-people,face-fantasy,skull and crossbones,"crossbones, death, face, monster, skull",,Mariella Steeb,,,,1,99
👻,1F47B,smileys-people,face-fantasy,ghost,"creature, face, fairy tale, fantasy, monster",ghost,Mariella Steeb,,,,1,100
👽️,1F47D,smileys-people,face-fantasy,alien,"creature, extraterrestrial, face, fantasy, ufo",alien,Mariella Steeb,,,,1,101
🤖,1F916,smileys-people,face-fantasy,robot face,"face, monster, robot",,Mariella Steeb,,,,1,103
💩,1F4A9,smileys-people,face-fantasy,pile of poo,"dung, face, monster, poo, poop",,Mariella Steeb,,,,1,104
😺,1F63A,smileys-people,cat-face,grinning cat face,"cat, face, mouth, open, smile",grinning,Emily Jäger,,,,1,105
😸,1F638,smileys-people,cat-face,grinning cat face with smiling eyes,"cat, eye, face, grin, smile",grinning,Emily Jäger,,,,1,106
😹,1F639,smileys-people,cat-face,cat face with tears of joy,"cat, face, joy, tear","laughing, smile",Emily Jäger,,,,1,107
😻,1F63B,smileys-people,cat-face,smiling cat face with heart-eyes,"cat, eye, face, love, smile","hearts, red",Emily Jäger,,,,1,108
😼,1F63C,smileys-people,cat-face,cat face with wry smile,"cat, face, ironic, smile, wry",,Emily Jäger,,,,1,109
😽,1F63D,smileys-people,cat-face,kissing cat face,"cat, eye, face, kiss",,Emily Jäger,,,,1,110
🙀,1F640,smileys-people,cat-face,weary cat face,"cat, face, oh, surprised, weary",wow,Emily Jäger,,,,1,111
😿,1F63F,smileys-people,cat-face,crying cat face,"cat, cry, face, sad, tear","unhappy, depressed",Emily Jäger,,,,1,112
😾,1F63E,smileys-people,cat-face,pouting cat face,"cat, face, pouting","sad, angry",Emily Jäger,,,,1,113
🙈,1F648,smileys-people,monkey-face,see-no-evil monkey,"evil, face, forbidden, monkey, see",,Mariella Steeb,,,,1,114
🙉,1F649,smileys-people,monkey-face,hear-no-evil monkey,"evil, face, forbidden, hear, monkey",,Mariella Steeb,,,,1,115
🙊,1F64A,smileys-people,monkey-face,speak-no-evil monkey,"evil, face, forbidden, monkey, speak",,Mariella Steeb,,,,1,116
👶,1F476,smileys-people,person,baby,young,"human, person",Johanna Wellnitz,,👶,1F476,1,117
👶🏻,1F476-1F3FB,smileys-people,person,baby: light skin tone,,,Johanna Wellnitz,1,👶,1F476,2,118
👶🏼,1F476-1F3FC,smileys-people,person,baby: medium-light skin tone,,,Johanna Wellnitz,2,👶,1F476,2,119
👶🏽,1F476-1F3FD,smileys-people,person,baby: medium skin tone,,,Johanna Wellnitz,3,👶,1F476,2,120
👶🏾,1F476-1F3FE,smileys-people,person,baby: medium-dark skin tone,,,Johanna Wellnitz,4,👶,1F476,2,121
👶🏿,1F476-1F3FF,smileys-people,person,baby: dark skin tone,,,Johanna Wellnitz,5,👶,1F476,2,122
🧒,1F9D2,smileys-people,person,child,"gender-neutral, unspecified gender, young","human, person",Johanna Wellnitz,,🧒,1F9D2,5,123
🧒🏻,1F9D2-1F3FB,smileys-people,person,child: light skin tone,,,Johanna Wellnitz,1,🧒,1F9D2,5,124
🧒🏼,1F9D2-1F3FC,smileys-people,person,child: medium-light skin tone,,,Johanna Wellnitz,2,🧒,1F9D2,5,125
